Balance Sheet,Current Assets,Cash and Cash Euivalents,Short term financial investment,Short term Account Receivables,Inventory,Other Current Assets,Non-current Assets,Long term Account Receivable,Fixed assets,Tangible fixed assets - accumulated worp value,Fixed financial leasing assets - accumulated worp value,Invisible fixed assets - accumulated worp value,Commercial advantage,Real Estate Investment,Long term Finacial Investments,Other long term assets,TOTAL ASSETS,Liabilities,Short term Liabilities,Long term Liabilities,Professional Prevention,No different,Owners equity,Expenditures and Other Funds,Owners equity,Benefits of minority shareholders,TOTAL EQUITY,Business results,Gross Sale Revenues,Deduction revenues,Net Sales,Cost of goods sold,Gross profit,Financial activities Revenues,Financial Expenses,Selling Expenses,Managing Expenses,Net Profit from Operating activities,Other incomes,Other Expenses,Other profits,Total profit before tax,Corporate Income Tax Expenses,Corporate Income Tax Expenses,Corporate Income Tax Expenses,Profit after Corporate Income Tax,--- The main accounts ---,EBITDA,Last Price of Quarter
 2019,5792556,503653,1167000,1572130,2390454,159318,,3570,1366481,-152045,-2709,-6384,159883,187282,1600,316525,8703385,6408899,5249636,1159263,0,0,2294486,0,2294486,0,0, 2019,1041478,2,1041476,738567,302909,18748,38712,68632,85419,128894,3556,622,2934,131828,27596,43567,-15971,127538,,0.74,11.20
 2018,5473170,358811,1163400,1563087,2244364,143508,,5322,1202440,-137842,-2173,-5832,167819,188531,1600,216363,8422490,5951211,4964994,986217,0,0,2471279,0,2471279,0,8422490, 2018,2246238,0,2246238,1390961,855277,76984,140190,60903,241629,489539,48939,35636,13303,502842,130764,135310,-4546,372078,,0.65,11.57
 2018,5386470,358811,1163400,1476387,2244364,143508,,92022,1202440,-137842,-2173,-5832,167819,188531,1600,384182,8422490,5951211,4878294,1072917,0,0,2471279,0,2471279,0,0, 2018,853073,0,853073,590937,262136,17559,36198,19548,48305,175644,28771,30246,-1475,174170,59290,55356,3934,161568,,0.65,11.57
 2018,5356842,362404,1333400,1592795,1964300,103944,,4665,1206957,-124756,-1637,-5300,0,148587,1600,365921,7814211,5404922,4418762,986160,0,0,2409289,0,2409289,0,0, 2018,519757,0,519757,328696,191061,26741,36248,14044,53158,114352,1738,642,1096,115448,28187,33581,-5393,117988,,0.62,12.65
 2018,5115398,382480,1548900,1396245,1712290,75483,,4717,1213665,-112726,-1101,-4836,183689,149815,1600,347392,7408884,5080579,4143295,937284,0,0,2328306,0,2328306,0,0, 2018,596579,0,596579,379193,217386,22777,34367,15740,80941,109115,11563,4133,7431,116546,24303,27694,-3391,92243,,0.40,11.15
 2018,4189734,824232,411900,1459678,1439771,54154,,74775,1216870,-102972,-565,-4373,191625,139802,1600,347910,6409774,4121101,3037548,1083553,0,0,2288672,0,2288672,0,0, 2018,417254,0,417254,232560,184694,9906,33377,11571,59226,90427,6867,616,6251,96678,18984,18680,304,105861,,0.28,11.82
 2017,3485279,444097,359900,1386813,1256574,37895,,89232,1213333,-89380,-29,-3914,153704,141068,1600,152588,5652286,3414003,2307408,1106595,0,0,2238283,0,2238283,0,5652286, 2017,1832799,0,1832799,1108713,724086,32200,124371,36896,197033,397986,9693,927,8765,406751,85591,89406,-3815,321160,,0.42,8.78
 2017,3485258,444097,359900,1386813,1256574,37873,,89232,1213333,-89380,-29,-3914,0,141068,1600,306292,5652264,3414037,2326823,1087214,0,0,2238227,0,2238227,0,0, 2017,595610,0,595610,332942,262668,12074,32264,-8897,81882,169493,5900,239,5661,175155,35202,36503,-1301,202477,,0.42,8.78
 2017,3444371,279313,513500,1437094,1170917,43547,,106964,1183684,-64380,0,-4331,160494,150177,33200,245323,5174714,3005332,1742071,1263261,0,0,2169382,0,2169382,0,0, 2017,480060,0,480060,327185,152875,7076,32622,8566,45983,72780,1008,497,511,73291,15758,15758,0,81411,,0.10,8.53
 2017,2484190,118447,18500,1414460,909970,22812,,106964,1171389,-62058,0,-4191,167283,152027,3200,255308,4182178,2605136,1427687,1177449,0,0,1577042,0,1577042,0,0, 2017,411721,0,411721,254831,156889,5058,25628,19319,28395,88605,843,108,735,89341,21042,23125,-2083,106056,,0.31,8.90
 2017,2284025,103802,510,1499682,662469,17561,,27574,1100843,-51908,0,-3557,174073,153332,1600,263496,4048746,2613416,1447604,1165812,0,0,1435330,0,1435330,0,0, 2017,345408,0,345408,193755,151653,7992,33858,17909,40772,67107,1941,83,1858,68965,13645,14077,-431,74671,,0.73,8.79
 2016,2074642,121150,510,1326311,609917,16753,,26962,1105819,-47183,0,-2944,180863,154810,1600,98268,3834549,2267972,1220200,1047772,0,0,1566577,0,1566577,0,3834549, 2016,1607465,197031,1410434,911085,499349,12325,73844,34242,101844,301744,1735,3090,-1355,300388,70420,70561,-141,229968,,1.31,9.23
 2016,2083410,121150,106010,1229612,609903,16735,,31437,967463,-47849,0,-2944,0,289613,1600,279293,3845534,2280184,1219425,1060760,0,0,1565350,0,1565350,0,0, 2016,671516,197121,474394,316336,158059,4701,18922,13969,27983,101885,-5001,-4508,-493,101392,29500,30189,-689,71892,,1.31,9.23
